Roll (1d100),Common,Uncommon,Rare,Very Rare
01-05,"Dolphin, Common","Crab, Giant","Elemental, Major Water","Damned Mariners*"
06-10,"Dolphin, Common","Devil Ray, Giant","Fish, Giant Sturgeon","Dragon, Sea"
11-15,"Dolphin, Common","Dragonfly, Giant","Griffon","Dragon, Sea"
16-20,"Elemental, Petty Water","Elemental, Minor Water","Hippogriff","Dragon Turtle"
21-25,"Raptor, Small (osprey)","Fish, Giant Catfish","Jellyfish, Giant","Dragon Turtle"
26-30,"Raptor, Small (osprey)","Fish, Giant Piranha","Manticore","Elemental, Supreme Water"
31-35,"Raptor, Med. (sea eagle)","Fish, Giant Rockfish","Nymph, Naiad","Elemental, Supreme Water"
36-40,"Raptor, Med. (sea eagle)","Man, Naval Mariner","Octopus, Giant","Genie, Marid"
41-45,"Seal, Common","Man, Pirate","Pegasus","Genie, Marid"
46-50,"Seal, Common","Man, Pirate","Raptor, Giant (albatross)","Ghost Ship*"
51-55,"Seal, Common","Man, Raider","Roc, Large","Kraken"
56-60,"Shark, Bull","Man, Raider","Skittering Maw","Kraken"
61-65,"Shark, Bull","Raptor, Large (albatross)","Sea Serpent","Phoenix"
66-70,"Shark, Mako","Raptor, Large (albatross)","Siren","Phoenix"
71-75,"Shark, Mako","Roc, Small","Sphinx","Roc, Giant"
76-80,"Snake, Sea","Shark, Great White","Squid, Giant","Roc, Giant"
81-85,"Swarm, Fish","Shark, Great White","Strix","Titan, Greater"
86-90,"Swarm, Fish","Swarm, Insect (dragonfly)","Stymph","Titan, Greater"
91-95,"Swarm, Fish","Whale, Killer","Triton","Whale, Sperm"
96-100,"Turtle, Sea","Whale, Killer","Whale, Narwhal","Whale, Sperm"
