Name,Base Cost,Apparent Value,Share,Weighted Share
Panoply of Life's Grasp,107000,3000,6,642000
Shield of the Iron Curtain,126000,1500,6,756000
Armor of the First Vaultlord,130000,3000,6,780000
Armor of the Invincible Conqueror,130000,2500,7,910000
Panoply of the Destroyer,130000,7000,6,780000
Armor of the Unyielding Mountain,158000,2000,7,1106000
Hide of the Troll King,166000,660,7,1162000
Armor of the Tomb Lord,169000,2000,7,1183000
Armor of Immaculate Purity,211000,3500,7,1477000
Cuirass of Inescapable Victory,182500,3500,7,1277500
Shield of the Empyrean Heavens,228000,11000,7,1596000
Starforged Suit,253500,18000,7,1774500
Armor of Invulnerability,611000,680,7,4277000
Armor of Final Orders,417000,3500,7,2919000
Gleaming Disc of Ammonar,1303000,4000*,6,7818000
