Name,Base Cost,Apparent Value,Share,Weighted Share
Rod of Cataclysm,1200000,500,15,18000000
Rod of Resurrection [D],700000,7000,8,5600000
Staff of Deep Earth [AD],191500,300,6,1149000
Staff of Dominion [AD],135125,651,6,810750
Staff of Elemental Air [A],153570,11000,8,1228560
Staff of Elemental Earth [A],153570,11000,8,1228560
Staff of Elemental Fire [A],153570,11000,8,1228560
Staff of Elemental Water [A],153570,11000,8,1228560
Staff of Remedy [D],118125,400,7,826875
Staff of the Archmage [A],213125,8000,6,1278750
Staff of the Grand Prefect [D],111875,651,6,671250
Staff of the Mage [A],126875,3000,8,1015000
Staff of the Void [A],154320,3000,6,925920
