Name,Base Cost,Apparent Value,Share,Weighted share
Aesri's Broom,292000,300,2,584000
Amulet of Krystar,150000,400,2,300000
Banner of the Bloody Dawn,200000,250,2,400000
"Belt of Giant Strength, Fire",124000,400,2,248000
"Belt of Giant Strength, Frost",124000,4000,2,248000
Blacksteel Helm,404500,3000,1,404500
Bottled City,1000000,50000,2,2000000
Bracers of Armor +5,105000,150,3,315000
Bracers of Armor +6,155000,150,2,310000
Bracers of Armor +7,215000,150,2,430000
Bridle of the Behemoth,150000,600,2,300000
Chalice of Blood,132000,500,2,264000
Chariot of the Gods,263500,1920,2,527000
Collapsible Boat,150000,400,2,300000
Crown of the Deep Mountain,126000,20000,2,252000
Crown of the Lost Kingdom,219000,1000,2,438000
Crown of the Third Eye,169000,15000,2,338000
Drum of Terror,150000,750,2,300000
Emblem of the Eagle,919000,20000,2,1838000
Eternal Torch of Mityara,172000,300*,1,172000
Eye of Kaleth,243000,500*,2,486000
Gateway to the Spheres,600000,4500,2,1200000
Genie Bottle,200000,600*,2,400000
"Girdle of the Titans, Greater",161500,15000,2,323000
"Girdle of the Titans, Lesser",126000,8000,2,252000
Hammer of Korten Khador,328000,100,2,656000
Hand of Gold,104000,250,2,208000
Hand of Lareth,101000,2,1,101000
Heaven's Censer,600000,5000,2,1200000
Heavenly Fare,200000,100,1,200000
Helm of the Winged Sun,117500,4000,1,117500
Holy Talisman of the Winged Sun,174000,10000,1,174000
Horn of the Wild Hunt,200000,1600,1,200000
Inexhaustible Flask,141500,5000,2,283000
Iron Crown of the Sorceror-Kings,222000,6500,2,444000
Iron Mask of Cyfaraun,128500,4000,2,257000
Iron-Bound Book of Xisuthros,101500,2000,1,101500
Keys to the Land of the Dead,650000,4000,2,1300000
Litter of the Resplendent Prince,144000,10000,1,144000
Manual of the Master Machinist,152000,500,1,152000
Mask of the Basilisk,300000,350,2,600000
Mask of the Catoblepas,150000,1000,2,300000
Necromantic Mirror,127500,6000,2,255000
Panoply of the Imperial Warmistress,469500,14550,2,939000
Paseplitem,500000,2000,1,500000
Phoenix Standard,150000,2000,2,300000
Relic of the True Martyr,1400000,400,1,1400000
Robe of Dancing Colors,150000,100,2,300000
Saddle of the Aerophract,312000,3000,1,312000
Scepter of Spell Shattering,110000,5000,2,220000
Scepter of the Monkey King,175000,8000,2,350000
Scepter of the Mud Emperors,164000,5000,2,328000
Shard of the Logos,131000,4000,1,131000
Skysteel Helm,455500,3000,1,455500
Talisman of True Transformation,150000,300,2,300000
Visor of Ammonar's Gaze,150000,2000,2,300000
Visor of the Vampire,150000,1500,2,300000
