Name,Base Cost,Apparent Value,Share,Weighted Share
Ring of Arcane Alignment,107000,7000,8,856000
Ring of Regeneration,150000,60,10,1500000
Ring of Rust,150000,200,9,1350000
Ring of the Boundless Prison,325000,5000,9,2925000
Ring of the Frost Tyrant,123000,1000,9,1107000
Ring of the Lucky Scoundrel,106000,3000,8,848000
Ring of the Plaguelord,687500,6000,9,6187500
Ring of the Queen's Heart,121500,4000,8,972000
Ring of the Umbral Mastiff,115000,2000,8,920000
Ring of Wishes,800000,1000*,13,10400000
Seal of Chaos,184000,8000,9,1656000
