Name,Base Cost,Apparent Value,Share,Weighted Share
Blade of Mythic Underworlds,275000,4000,9,2475000
Cutlass of the Four Crescents,151000,2000,8,1208000
Fang of Nargund,183000,1500,8,1464000
Fire-Eater Sword,144000,2000,8,1152000
Red Sword of the Warlord,237000,3000,8,1896000
Ruinblade,168000,1500*,9,1512000
Sword of Celerity,226000,12000*,8,1808000
Sword of Fortune,1017000,4000*,9,9153000
Sword of Holy Fire,364500,2500,8,2916000
Sword of Kings,181000,6000,8,1448000
Sword of Withering,215000,2000,9,1935000
Vorpal Sword,140000,5000,8,1120000
