Name,Base Cost,Apparent Value,Share,Weighted Share
Warhammer of Türas,104000,1200,6,624000
Scourge of the Serpent,106000,1000,7,742000
Bow of the Great Eagles,108000,1000,6,648000
Shining Spear ,120500,3000,7,843500
Glaive of the Blade-Goddess,130000,1500,7,910000
Warhammer +2, Dwarven Hurler,136000,655,8,1088000
Great Axe of the North,154000,660,6,924000
Bow of the Unconquered Sun,144000,2000,6,864000
Crystal Spear,177000,2000*,7,1239000
Scourge of Law,180000,655,7,1260000
Goblin-Spitter,190000,1200,7,1330000
Axe of Bitterness,207000,657,6,1242000
Luckbreaker,594000,13000,6,3564000
Bow of the Fallen Sky,1351000,8000,7,9457000
Maul of the Earth's Heart,173000,2000,7,1211000
