Name,Base Cost,Apparent Value,Share,Weighted Share
Curse Pole,22500,60,1,22500
Rod of Flashing [A],6000,30,2,12000
Staff of Battle Magic [AD],19000,350,2,38000
Staff of Brilliance [AD],7500,60,2,15000
Staff of Innocence,19000,60,2,38000
Staff of Line-Drawing [AD],15000,80,2,30000
Staff of Smiting [D],20000,651,2,40000
Staff of Springiness,25000,150*,1,25000
Staff of Successive Summoning [AD],19000,30,2,38000
Staff of the Healer [D],16500,1500,2,33000
Staff of the Humble Healer [D],3300,50,2,6600
Wand of Aggravating Airway Amphibians,20000,20,2,40000
Wand of Annulment,20000,120,2,40000
Wand of Arcane Arrows,15000,60,2,30000
Wand of Battering,20000,35,2,40000
Wand of Blinding Fireballs,20000,140,1,20000
Wand of Channeled Flame,20000,400,2,40000
Wand of Collision,20000,40,2,40000
Wand of Counterspelling,10000,25,11,110000
Wand of Crushing Force,20000,300,2,40000
Wand of Deafening Thunder,10000,30,8,80000
Wand of Desiccation,10000,300,7,70000
Wand of Distant Disappearance,20000,120,2,40000
Wand of Electrical Emission,2000,150,2,4000
Wand of Energy Revulnerability,20000,25,1,20000
Wand of Ephemeral Evaporation,20000,30,2,40000
Wand of Fanned Flames,10000,120,10,100000
Wand of Figments,20000,120,3,60000
Wand of Foe Discernment,10000,70,6,60000
Wand of Fright,25000,200,1,25000
Wand of Gales,20000,55,2,40000
Wand of Gloaming,10000,100,7,70000
Wand of Illusion,10000,100,10,100000
Wand of Indignation,20000,300,2,40000
Wand of Infatuation,20000,80,2,40000
Wand of Infuriation,10000,30,8,80000
Wand of Light,10000,20,12,120000
Wand of Luminosity,15000,500,2,30000
Wand of Mage Missiles,10000,30,11,110000
Wand of Magic Discernment,10000,70,9,90000
Wand of Noises,10000,30,9,90000
Wand of Physical Revulnerability,20000,25,1,20000
Wand of Recognition,25000,600,1,25000
Wand of Sleep,25000,250,1,25000
Wand of Slipperiness,10000,50,9,90000
Wand of Slumbering,10000,40,9,90000
Wand of Smokescreens,10000,60,9,90000
Wand of Spiders,16125,90,2,32250
Wand of Stolen Voices,20000,150,1,20000
Wand of Uncanny Gyration,20000,70,2,40000
Wand of Uncontrollable Mirth,20000,60,1,20000
Wand of Webs,20000,45,2,40000
