Name,Base Cost,Apparent Value,Share,Weighted share
Alchemist's Tube,19000,50,1,19000
Alluring Lyre,19000,550,1,19000
Altar of Faith's Service,14500,900,1,14500
Amulet of Adamance,10000,300,7,70000
Amulet of Clairvoyancy,18000,200,1,18000
Amulet of Coagulation,24000,120,1,24000
Amulet of Edification,19000,100,1,19000
Amulet of Fireball Immunity,24000,150,1,24000
Amulet of Four Seasons,16250,100*,1,16250
Amulet of Levitation,25000,100,1,25000
Amulet of Spell Absorption,16000,200,1,16000
Amulet of the Ape,25000,60,1,25000
Amulet of the Iron Belly,12000,100,7,84000
Amulet of the Maiden,20000,110,1,20000
Antlered Crown of Ravanor,19000,350,1,19000
Armband of the Ethereal Appendage,17000,300,1,17000
Astrolabe of the Vasty Deep,18000,300,1,18000
Augury Sticks,10000,5,10,100000
Bag of Winds,9250,600,7,64750
Banner of the Lost Legion,20000,150,1,20000
Basin of Conjuring Water Elementals,20000,300,2,40000
Belt of Banditry,9500,20,7,66500
Belt of Hardiness,19000,25,1,19000
Black Book,21000,100,1,21000
Black Gauntlet of Bel,9000,80,6,54000
Blood Seer Stone,19000,800*,1,19000
Boots of Bounding,19000,30,3,57000
Boots of Striding,10000,35,10,100000
Boots of the Elven Ranger,19000,20,2,38000
Boots of the Leopard,25000,100,1,25000
Borrowed Ear Trumpet,15000,10,1,15000
Bowl of Errant Reflections,12000,10,3,36000
Bracers of Armor +2,15000,150,7,105000
Bracers of Brawn,19000,150,1,19000
Bramble Crown,15000,150,1,15000
Brazen Head,19000,50,1,19000
Bridle of Blinking,20000,20,1,20000
Bridle of Bonding,19000,20,1,19000
Brooch of Arcane Armor,19000,250,1,19000
Brooch of the Blood Drinker,23500,600,1,23500
Broom of Banishment,18000,5,1,18000
Broom of Cessation,8000,20,5,40000
Broom of Traceless Steps,19000,150,1,19000
Broom of Webwinding,25000,2,1,25000
Carpet of Protection,24000,3000,1,24000
Cat's Paw,23625,5,1,23625
Cauldron of Shattered Souls,20000,150,1,20000
Censer of Prophetic Dreams,18000,600,1,18000
Chalk of Annihilation,12000,1*,2,24000
Charm Bracelets,6000,10,8,48000
Chime of Unlocking,8000,300,10,80000
Chime of Warning,19000,150,1,19000
Chimera Collar,12000,200,3,36000
Choker of Whispers,9500,450,7,66500
Circlet of Seeing,23250,1200,1,23250
Cloak of Deepest Shadow,9500,90,6,57000
Cloak of Nine Lives,22500,99,1,22500
Cloak of Protection +1,12000,170,8,96000
Cloak of Protection +2,24000,170,3,72000
Cloak of the Elven Ranger,19000,3780,1,19000
Cloak of the Huntmaster,24000,120,1,24000
Cloak of the Wanderer,12000,150,3,36000
Codex of Complexity,11500,800,6,69000
Coin of Conscription,12000,1,3,36000
Comb of Vanity,19000,150,1,19000
Crucible of Conjuring Fire Elementals,20000,400,2,40000
Crucible of Eager Flame,16500,60,1,16500
Crucible of Jealous Flame,25000,60,1,25000
Crucible of Purgation,20000,60,1,20000
Crystal Ball,24000,600,4,96000
"Crystal Ball, Perilous",18000,600,1,18000
Death Shroud,19000,150,1,19000
Deck of Laughter and Misery,12000,150,1,12000
Deck of Many Spells,6000,520,7,42000
Dial of Displaced Dooms,18000,300,1,18000
Diptych of Far-Reaching Discourse,19000,400,1,19000
Drum of Urgency,12000,210,3,36000
Earring of Dark Whispers^,6000,80,7,42000
Ever-Burning Coal,12000,500,1,12000
Everfrost Reliquary,18750,100*,1,18750
Faithful Collar,12000,10,3,36000
Fan of Flaring Flame,16500,80,1,16500
Fan of Foul Vapors,20000,180,1,20000
Favor of Faithfulness,8000,50,6,48000
Figurehead Oracle,23500,150,1,23500
Firefly Brooch,8000,100,6,48000
Flask of Disguises,11083,20*,6,66498
Flask of Ever-Flowing Fluids,13000,200,2,26000
Flight Feather,9000,5,6,54000
Gauntlets of the Storm,15000,120,1,15000
Gem of Appraisal,12000,100,3,36000
Gem of Bodily Discernment,19000,100,1,19000
Gem of Conjuring Earth Elementals,20000,2000,2,40000
Gem of Overwatching Eyes,16500,120,1,16500
Gilded Rose of Nasga,12500,70,3,37500
Girdle of Enticement,19000,100,1,19000
Glass Casket,15000,400,1,15000
Glove of Death's Cries,20000,40,1,20000
Gloves of the Fatal Touch,15000,2,1,15000
Golden Spurs,24000,200,2,48000
Gutter Crown,12000,5,3,36000
Hammer of the Master Smith,12000,2,3,36000
Hand of Calamity,15000,0.5,1,15000
Hand of Disarticulation,7500,25,10,75000
Heart of Flame,15000,4000,1,15000
Heart of Gold,17000,500,1,17000
Heart of Stone,12000,40,2,24000
Helm of Appropriation,25000,1500,1,25000
Helm of Comprehension,25000,150,1,25000
Helm of Disalignment,22500,660,3,67500
Helm of the Crab,16000,140,1,16000
Helm of the Steel Brow,12000,60,1,12000
Hidden Tent,25000,3000,1,25000
Horn of Nargund,15000,400,1,15000
Horn of the Eagles,25000,200,1,25000
Howdah of the Second Stand,12000,1200,3,36000
Illusory Pigments,10500,5,7,73500
Jar of Eyeballs,16000,5,1,16000
Jar of Troll Blood,18000,100,1,18000
Lantern of Figments,12000,50,3,36000
Lens of Revelation,12000,100,3,36000
Lightless Slippers,16000,50,1,16000
Lipstick of Amphibification,9000,20,6,54000
Lipstick of Ensnarement,6000,20,9,54000
Lipstick of Farewells,12000,20,6,72000
Lodestone of Lairfinding,15000,15,1,15000
Lucky Prayer Beads,10625,60,6,63750
Magician's Hat,19000,50,1,19000
Mantle of the Wild,9500,90,7,66500
Medallion of Discerning Invisibility,24000,200,2,48000
Mirror of Secondhand Sight,16500,80,1,16500
Mirror of the Sun,10000,200,7,70000
Mirrors of Translocation,16000,400*,1,16000
Necklace of Fickle Beauty,9500,150,5,47500
Necklace of Naphtha,6000,300,12,72000
Net of Plenty,25000,10,1,25000
Orb of False Visions,6000,600,8,48000
Pack of the Mule,19000,20,1,19000
Pack of the Smuggler,12000,20,3,36000
Pearls of Invulnerability,14000,330,1,14000
Periapt of Proof Against Plague,19000,100,1,19000
Periapt of Proof Against Poison,19000,100,1,19000
Pirate's Pointer,12000,10,3,36000
Portable Well,20000,50,1,20000
Predator's Mantle,25000,800,1,25000
Primeval Clay,8000,10,6,48000
Purse of Pilfering,16000,15,1,16000
Quilt of Convalescence,17000,50,1,17000
Reeds of the Rodent,10000,40,7,70000
Rope of Ascent,19000,100,2,38000
Saddle Blanket of the Steppe,12000,30,3,36000
Sail of the Scorpion,15000,500,1,15000
Sanctified Urn,15000,30,1,15000
Sandals of Steady Ground,22000,3,1,22000
Sandals of the Straightened Path,12000,20,3,36000
Sash of Sepulchral Service,7250,400,6,43500
Scarab of Life,24000,300,3,72000
Seat of the Bearmaster,15000,200,1,15000
Seven-League Boots,17000,5,1,17000
Shadow Slippers,12000,40,3,36000
Shroud of Dead to Dust,8000,80,6,48000
Skull of the Second Glance,25000,100,1,25000
Smuggler's Cart,24000,100,1,24000
Sphinx-Feather Headdress,24000,3000,1,24000
Spider Climbing Slippers,19000,100,1,19000
Spidersilk Cloak,12000,80,3,36000
Spike of Second Chances,12000,0.2,3,36000
Spirit Slippers,25000,100,1,25000
Starlight Mantle,11250,200,7,78750
Stone Sparrow Nest,9000,300,7,63000
Talking Head,19000,10,1,19000
Tankard of Purification,13600,200,1,13600
Thurible of Conjuring Air Elementals,20000,350,2,40000
Thurible of Pyromancy,25000,300,1,25000
Torc of the North,24000,500,1,24000
Torrential Parasol,18000,25,1,18000
Trailblazer's Tunic,19000,15,1,19000
Unremarkable Cloak,6000,1,9,54000
Visor of the Eagle,24000,200,2,48000
Wages of Fortune,19000,60,1,19000
War-Dress of the Exquisitrix,12000,400,3,36000
Watchman's Friend,19000,20,1,19000
Whistle of Finality,15000,100,1,15000
Whistle of the Menagerie,12000,20,3,36000
Whistle of Winged Words,12000,80,3,36000
White Elephant Figurine,16500,165*,1,16500
White Sapling,12500,20,1,12500
Window to the Spheres,15000,200,1,15000
Wristlet of Rectification,14000,100,1,14000
Wyvern Whistle,15000,150,1,15000
