Name,Base Cost,Apparent Value,Share,Weighted Share
Band of Beguilement,6000,300,11,66000
Dragon Seal of the Sorcerer-King,24750,8000,1,24750
Legionary's Ring,24000,240,1,24000
Ring Against the Wolf,19000,150,2,38000
Ring of Arcane Adversary,19000,250,2,38000
Ring of Attuned Protection,24000,250,1,24000
Ring of Beyond,19500,700,1,19500
Ring of Blessing,19000,200,2,38000
Ring of Eternal Atrophy,19000,250,2,38000
Ring of Fickle Flame,9167,300,2,18334
Ring of Fiend Conjuring,25000,600,1,25000
Ring of Fire Protection,24000,40,2,48000
Ring of Forewarning,22000,30,1,22000
Ring of Genie Summoning,18000,1000,4,72000
Ring of Imp Conjuring,6000,200,11,66000
Ring of Last Breaths,10250,120,10,102500
Ring of Life Protection,20250,300,2,40500
Ring of Lightless Vision,22500,100,2,45000
Ring of Many Faces,6000,100,12,72000
Ring of Penumbral Perception,19000,120,2,38000
Ring of Protection +1,12000,250,28,336000
Ring of Protection +2,24000,250,9,216000
Ring of Return,19000,50,2,38000
Ring of Robust Health,7500,200,12,90000
Ring of Ruination,18000,320,2,36000
"Ring of Sealing, Greater",8000,250,12,96000
Ring of Selfless Protection,12000,300,7,84000
Ring of Serpents' Council,20000,180,2,40000
Ring of Seven Grudges,17500,1700,2,35000
Ring of Sylvankind,20000,1000,1,20000
Ring of the Blessed Life,19000,350,1,19000
Ring of the Cornered Beast,19000,400,2,38000
Ring of the Earth*,14500,300,4,58000
Ring of the Golden Serpent,6000,400,12,72000
Ring of the Jackal,18000,100,3,54000
Ring of the Leviathan,9000,100,12,108000
Ring of the Open Sky,15000,400,2,30000
Ring of the Rodent,19000,90,2,38000
Ring of the Seasons,19000,300,2,38000
Ring of the Sky*,14500,800,4,58000
Ring of the Slavedriver,18000,250,2,36000
Ring of Unseen Focus,25000,300,1,25000
Ring of Venery,19000,500,1,19000
Ring of Vengeful Spirits,14000,50,2,28000
Ring of Wailing,25000,70,1,25000
