Name,Base Cost,Apparent Value,Share,Weighted Share
Spell Scroll (12 levels),5750,150,5,28750
"Treasure Map (Treasure Type H, average 21672gp)",5851.3644,150,24,140432.7456
Spell Scroll (14 levels),7000,150,4,28000
Spell Scroll (16 levels),8000,150,4,32000
Spell Scroll (18 levels),9000,150,4,36000
Spell Scroll (20 levels),10000,150,4,40000
Spell Scroll (22 levels),11000,150,4,44000
Spell Scroll (24 levels),12000,150,3,36000
"Treasure Map (Treasure Type N, average 46814gp)",12639.6612,150,24,303351.8688
"Treasure Map (Treasure Type Q, average 86927gp)",23470.2765,150,24,563286.636
