Name,Base Cost,Apparent Value,Share,Weighted share
Amulet of the Cursed Glare,4800,50,1,4800
Apple of Endless Slumber^,2000,0.1,2,4000
Apple of Lightning's Roots,1500,100,4,6000
Bag of Burgeoning Beans,2000,0.1,2,4000
Barrel of Baboons^,3000,1,1,3000
Belt of Second Breakfasts,5000,30,1,5000
Bracers of Armor +1,5000,150,2,10000
Broom of Oiling,5000,2,1,5000
Candle of Conjuring Fire Elementals,1833,10,4,7332
Candle of Final Hours^,1500,10,2,3000
Candle of Shadow,2000,1,1,2000
Candle of Spellwarding,3000,15,1,3000
Candle of Undead Warding,2000,2,1,2000
Chalice of Delayed Doom^,2500,20,1,2500
Chalk of Annihiliation,3000,0.1,1,3000
Crystal Songbird,1500,150*,2,3000
Dust of Desolation,2000,0,1,2000
Dust of Discontinuity,1500,0,5,7500
Dust of Khalil Azim,2500,1,1,2500
Dust of Vanishing,1500,0,8,12000
Dwarven Cord,3300,90,1,3300
Dwarven Jumping Cube,5000,10*,1,5000
Dwarven Rhetor Statues,5000,100*,1,5000
Elven Rope,3300,90,1,3300
Ever-Spinning Top,5000,10,1,5000
Faerie Dust,3000,5,1,3000
Faerie Seed,2500,0,1,2500
First Stone,3000,100,1,3000
Graven Dwarven Guard Dog,1600,100,2,3200
Head of Viggo,3000,1,1,3000
Headless Helm^,2500,10,1,2500
Humble Hearth-Guard,3000,70,1,3000
Idol of Blight,2500,50,1,2500
Jade Toad,2400,150,1,2400
Jeweled Lizard,3300,100,1,3300
Key to Eternity^,3000,20,1,3000
Locket of Warding,5000,5,1,5000
Lyre of the Lullaby,1200,100,3,3600
Mantle of Flame^,2000,250,1,2000
Marvelous Shaving Razor,3300,50,1,3300
Mermaid's Tear,3000,5,1,3000
Mesmerizing Moneybag,1500,33,3,4500
Mirror of Nemesis^,2500,100*,1,2500
Phoenix Ash,3000,0,1,3000
Phoenix Egg,2000,200,1,2000
Phylactery of Stolen Faces,2500,60,1,2500
Pit Tarp,1500,30,4,6000
Plague Powder,1500,0,3,4500
Pot of Perennial Obedience,5000,50,1,5000
Pumpkin Seed of Greatness,3000,5,1,3000
Red Dragon Statuette,3300,400,1,3300
Scales of Judgment,5000,50,1,5000
Scales of Worth,5000,25,1,5000
Scarab of Death^,3000,300,1,3000
Shadowcowl Robe,5000,100,1,5000
Shepherd's Crook,1200,70,3,3600
Shrunken Cement,2000,0,1,2000
Spearpoints of Strife,3000,10,1,3000
Stolen Glamer,5000,5,1,5000
Stone Fruit,2750,1*,1,2750
Stone of Permafrost,2750,5*,1,2750
Treeherder Seed,2000,0,1,2000
Wanderer's Bell,3300,10,1,3300
Witching Stick,5000,100,1,5000
Woodwind of the Woodlands,3300,105,1,3300
Yarn of Treasure Finding,2000,40,1,2000
