Name,Base Cost,Apparent Value,Share,Weighted Share
Bezoar Ring,1500,30,7,10500
Ring of Callousness,2000,20,9,18000
Ring of Cold Repose,3000,100*,7,21000
Ring of Degeneration^,1500,20,4,6000
Ring of Enslavement^,3000,as imitated,4,12000
Ring of Feebleness^,1500,400,4,6000
Ring of Fire Walking,2000,20,9,18000
Ring of Flesh,1500,350,6,9000
Ring of Frailty^,1500,150,4,6000
Ring of Hallucination^,3000,as imitated,5,15000
Ring of Horrific Death^,2500,300,4,10000
Ring of Messages,5000,250,5,25000
Ring of Molting,1500,100,5,7500
Ring of Restriction^,1500,200,4,6000
"Ring of Sealing, Lesser",4000,250,5,20000
Ring of Sparks,1200,150,5,6000
Ring of the Sewer Spider^,1500,1200,4,6000
Ring of Vitality,2000,100,9,18000
