Name,Base Cost,Apparent Value,Share,Weighted Share
"Treasure Map (Treasure Type D, average 5509gp)",1487.3733,150,13,19335.8529
Cursed Scroll^,1500,150,8,12000
Spell Scroll (3 levels),1500,150,27,40500
Scroll of Ward-Runes,1500,150,2,3000
Spell Scroll (4 levels),2000,150,20,40000
Scroll of Mapping,2000,150,1,2000
Spell Scroll (5 levels),2500,150,7,17500
Scroll of Magic Warding,3000,150,5,15000
Spell Scroll (6 levels),3000,150,5,15000
Scroll of Pledges,3000,150,1,3000
"Scroll of Anyspell, Lesser",3000,150,1,3000
Spell Scroll (7 levels),3500,150,4,14000
Spell Scroll (8 levels),4000,150,3,12000
Spell Scroll (9 levels),4500,150,2,9000
Spell Scroll (10 levels),5000,150,1,5000
