Name,Base Cost,Apparent Value,Share,Weighted Share
"Chain Mail Armor +1, Outrider",28000,690,1,28000
"Lamellar Armor +1, Scarab",28000,700,1,28000
"Shield +1, Bravo's",29000,660,1,29000
"Shield +1, Life's Respite",29000,660,1,29000
"Shield +2, Shining Silver",29500,1100,1,29500
"Shield +2, Seer's",30000,800,1,30000
"Chain Mail Armor +1, Defiant",32000,800,1,32000
"Leather Armor +2, Chameleon",34000,670,1,34000
"Plate Armor +1, Resonant",34000,900,1,34000
"Armor +3",35000,650+,4,140000
"Hide Armor +3, Bestial",35000,750,1,35000
"Shield +3",35000,660,4,140000
"Shield +2, Mageslayer's",37000,660,1,37000
"Hide Armor +2, Wilds",39000,660,1,39000
"Leather Armor +2, Lightless",39000,670,2,78000
"Chain Mail Armor +2, Fire Resistance",39000,1000,2,78000
"Shield +2, Discovering Great Forces",40500,660,2,81000
"Scale Armor +1, Summer",41500,660,2,83000
"Leather Armor +2, Tenacious",44000,1200,2,88000
"Plate Armor +2, Juggernaut",46000,710,2,92000
"Banded Plate Armor +2, Swarmlord",49000,700,2,98000
"Banded Plate Armor +2, Spellward",51000,700,2,102000
"Leather Armor +2, Corsair's",51000,670,2,102000
"Plate Armor +2, Freedom",51000,900,2,102000
"Leather Armor +2, Winged Sun",52000,800,2,104000
"Leather Armor +2, Springing",53000,670,2,106000
"Shield +2, Bull",53000,660,2,106000
"Shield +2, Second March",53000,1300,2,106000
"Plate Armor +3, Featherweight",54000,1500,4,216000
"Scale Armor +2, Serpent",56500,1800,3,169500
"Shield +2, Storms",58000,660,3,174000
"Shield +2, Strategos",58000,660,3,174000
"Chain Mail Armor +2, Tundra",63000,690,3,189000
"Scale Armor +2, Sphinx's",63000,5000,3,189000
"Plate Armor +1, Depths",78750,2400,2,157500
"Chain Mail Armor +2, Miasmic",82000,900,3,246000
"Hide Armor +3, Unpierceable",83000,1500,4,332000
"Plate Armor +3, Eternal Sentinel",83000,1200,4,332000
"Shield +3, Million Arrows",83000,1100,4,332000
"Lamellar Armor +3, Khan's",83000,700,4,332000
"Chain Mail Armor +3, Forgotten",95000,690,4,380000
"Leather Armor +3, Master Sneak",95500,670,4,382000
"Laminated Linen Armor +3, Mistform",98000,690,4,392000
