Name,Base Cost,Apparent Value,Share,Weighted share
Alabaster Robe,48000,100,1,48000
Amulet of Elemental Resistance,96000,200,2,192000
Amulet of Indiscernibility,30000,2000,1,30000
Amulet of Iskara's Touch,54000,500,1,54000
Amulet of Sky's Promise,36000,300,1,36000
Amulet of Temperate Travels,36500,80,1,36500
Amulet of the All-Seeing Eye,72000,130,1,72000
Angel's Favor,37500,300,1,37500
Atlas of Dominion,99000,300,2,198000
Bag of Oblivion,72000,15,1,72000
Bag of Stolen Voices,34000,5,1,34000
Basin of the Maelstrom,30000,10,1,30000
Bell of Kano-Gaha,60000,200,1,60000
Belt of Dwarvenkind,76000,4000,1,76000
"Belt of Giant Strength, Hill",76000,1200,2,152000
"Belt of Giant Strength, Stone",95000,1200,1,95000
Belt of Oozekind,55000,20,1,55000
Blackbird Brooch,54000,800,1,54000
Blackened Lotus,40000,1000,1,40000
Blindfold of the Ibis,40000,80,1,40000
Blue Eye of the Seer,69000,250,1,69000
Book of Secrets,37500,100,1,37500
Book of the Scorned Sculptor,60000,400,1,60000
Boots of Arcane Departure,29500,40,1,29500
Boots of Earth's Might,58000,50,1,58000
Boots of Escape,38000,30,1,38000
Boots of Giant Leaps,31000,100,1,31000
Boots of Iron,43000,100,1,43000
Boots of Levitating,47500,150,1,47500
Boots of Pursuit,38000,90,1,38000
Boots of the Dastard,37000,20,1,37000
Boots of the Locust,41000,5,1,41000
Boots of the Prizefighter,76000,3000,1,76000
Boots of the Wayfinder,38000,80,1,38000
Bottomless Bag,100000,45,4,400000
Bracers of Armor +3,35000,150,2,70000
Bracers of Armor +4,65000,150,1,65000
Bridle of the Nixie,61000,200,1,61000
Broom of Bluster,31000,10,1,31000
Cauldron of Miscibility,51000,2200,1,51000
Cauldron of the Risen,40000,1300,1,40000
Centipede Bracelet,34000,450,1,34000
Champion's Bell,45000,900,1,45000
Cheetah Skin of Kushtu-Munde,57000,600,1,57000
Chime of Quieting,50000,400,1,50000
Circlet of Classical Cant,57000,180,1,57000
Circlet of the King Cobra,49000,200,1,49000
Cloak of Protection +3,48000,170,1,48000
Cloak of Skinchanging,38000,1200,1,38000
Cloak of the Storm's Eye,50000,150,1,50000
Collar of Beast Growth,36000,200,1,36000
Collar of Conversation,100000,1000,1,100000
Conch of Auspicious Purity,85000,700,2,170000
Coronet of the Swan,38000,1600,1,38000
Crater's Crown,84000,650,2,168000
Crimson Carpet,100000,500,2,200000
Crown of Bones,88000,2600,2,176000
Crown of Occult Visions,60000,40,1,60000
Crown of Rodin,74350,600,1,74350
"Crystal Ball, Clairaudient",42000,600,1,42000
"Crystal Ball, False Forms",49000,600,1,49000
"Crystal Ball, Indiscernible",54000,600,1,54000
"Crystal Ball, Stalking",42000,600,1,42000
"Crystal Ball, Telepathic",48000,600,1,48000
Crystal Slippers,51000,1500,1,51000
Cube of Cold Immunity,40000,50,1,40000
Dead Eye,53500,100,1,53500
Dead Man's Collar,72000,5,1,72000
Dead Man's Hand,88500,0.5,2,177000
Desert Bloom,91000,500,2,182000
Diadem of Virtue,79500,16000,1,79500
Dispensation-Stone of Zahar,31000,50,1,31000
Dragonfly Cloak,95000,350,2,190000
Drum of Devastation,66000,50,1,66000
Eye of the Storm,60000,200,1,60000
Eye of the Tiger,53500,150,1,53500
Figurehead of Flame,49500,200,1,49500
Figurehead of Fog,48000,350,1,48000
Flag of Dread,30000,100,1,30000
Flag of False Faces,48000,400,1,48000
Flask of Diseases,26500,120,1,26500
Flower Crown,30000,10*,1,30000
Flute of the Tempest,74250,350,1,74250
Garter of the Naiad,66500,150,1,66500
Gauntlets of Ogre Strength,38000,20,1,38000
Gem of Force,48000,4000,1,48000
Gem of Revelation,38000,300,1,38000
Giant Falconer's Gauntlet,42000,120,1,42000
Gloves of Nimble Fingers,31000,10,1,31000
Golden Thread,50000,50*,1,50000
Grinning Demon Mask,30000,60,1,30000
Hag Stone,52500,5,1,52500
Hand of the Warrior,57000,140,1,57000
Harp of Blossoming Bounty,37500,700,1,37500
Heart of Eternity,45000,200*,1,45000
Heart of Ice,57000,800,1,57000
Helm of Ancient Canopies,51000,100,1,51000
Helm of Awe,76000,3000,2,152000
Helm of Oblivion,55000,90,1,55000
Helm of Ornaron,41500,240,1,41500
Helm of Perpetual Sacrifice,100000,1300,2,200000
Helm of Telepathy,100000,2500,2,200000
Helm of Teleportation,82500,1000,2,165000
Helm of the Hivelord,58000,400*,1,58000
High Throne of the Vantage,30000,30,1,30000
Horn of Fallen Walls,30000,200,1,30000
Horn of Horror,75000,150,1,75000
Horn of Libations,58570,300,1,58570
Horn of Sorrow,35000,700,1,35000
Horseshoes of Flight,76000,5,3,228000
Inexorable Eye of Multifarious Incandescence,40000,100,1,40000
Kemeshi Battle-Crescent,60000,1200,1,60000
Key of Supplemental Storage,100000,6000,2,200000
Kraken Harness,50000,100*,1,50000
Laconic Oracle,50000,6000,1,50000
Lantern of Unveiling,57000,20,1,57000
Ledger of Life and Lesions,30000,100,1,30000
Lens of Lost Ways,34000,100,1,34000
Magic Carpet,76000,3000,3,228000
Marvelous Dwarven Mechanism,53000,1500,1,53000
Mask of Feral Mouths,38000,30,1,38000
Mask of the Depths,33750,40,1,33750
Medallion of Whispers,57000,100,1,57000
Necklace of Acclimatization,72000,600,2,144000
Necklace of the Sylvan Princess,72000,1200,1,72000
Oar of Lammala,61500,30,1,61500
Ocean's Due,50000,5,1,50000
Oozing Gospel of Kaleth,30000,100,1,30000
Orchard Blossom,50000,500,1,50000
Pavilion of Protection,30000,200,1,30000
Phylactery of Fates,34000,3000,1,34000
Pot of Perpetual Pudding,50000,350,1,50000
Preserved Familiar,39000,10,1,39000
Prophet's Stele,34000,400,1,34000
Robe of the Lizard Lord,55000,800,1,55000
Robe Of Useful Things,28500,250,1,28500
Rope of Binding,50000,20,1,50000
