Name,Base Cost,Apparent Value,Share,Weighted Share
Ring of Radiance,28000,350,1,28000
Ring of Disillusionment,28500,300,1,28500
Ring of Death,29000,450,1,29000
Ring of Arcane Abjuration,30000,200,1,30000
Ring of Razor Ramparts,30000,100,1,30000
Ring of Reflection,30000,300,1,30000
Ring of Replacement,30000,400,1,30000
Ring of Revelation,54000,300,1,54000
Ring of Luck,31000,100,1,31000
Ring of the Eye,31000,150,1,31000
Ring of the Mountain Goat,31000,50,1,31000
Ring of Beast Control,33000,600,4,132000
Ring of Humanoid Control,33000,90,4,132000
Ring of Near Sighting,33000,30,1,33000
"Ring of Protection +2, 5' Radius",36000,250,3,108000
Ring of Water Walking,36000,300,2,72000
Ring of Growth,36000,40,1,36000
Ring of Shrinking,37500,40,1,37500
Ring of Bestial Form,38000,800,1,38000
Ring of Fast Talk,38000,100,1,38000
Ring of the Crypt Keeper,38000,60,1,38000
Ring of the Warmage,38000,600,1,38000
Ring of Immunity to Certain Doom,83250,200,1,83250
Ring of Decline^,43500,250,1,43500
Ring of Protection +3,48000,250,3,144000
Ring of Inscrutability,48000,350,1,48000
Ring of the Fortress,48000,4000,1,48000
Ring of Virtue's Shield,48000,100,1,48000
Ring of Invisibility,49500,350,7,346500
Ring of Dark Potence,53000,300,2,106000
Ring of Calamity,54000,1500,1,54000
Ring of Flame's Favor,67000,2000,1,67000
Ring of Generous Invisibility,62000,300,1,62000
Ring of the Scribe,57000,1500,1,57000
Ring of Shadows,58500,2000,1,58500
Ring of Protection +3. 5' Radius,60000,250,2,120000
Ring of Forcewalls,66000,1100,2,132000
Ring of Merchant's Fortune,69000,200,2,138000
Ring of Anti-Magic,72000,450,4,288000
Ring of the Tower,75000,200,2,150000
Ring of Stasis,60000,500,2,120000
Ring of Elemental Mastery,76000,60,2,152000
Ring of Substance,60000,150*,2,120000
Ring of Plant Control,82500,900,7,577500
Ring of X-Ray Vision,82500,1100,7,577500
Ring of the Master Conjurer,90000,1200,3,270000
Ring of Sun and Shadow,96000,1500,3,288000
Ring of Absence,96000,400*,3,288000
Ring of Elemental Servants,100000,1000*,6,600000
