Name,Base Cost,Apparent Value,Share,Weighted Share
"Dagger +1, Delver's",26000,653,2,52000
"Dagger +1, Spellstealing",30000,653,1,30000
"Dagger +2, Basilisk's Fang",36000,653,1,36000
"Dagger +2, Destiny Delayed",37500,1000,1,37500
"Dagger +2, Displacement",30000,700,1,30000
"Dagger +2, Marrow-Scraper",44000,653,1,44000
"Dagger +2, Vampiric",65000,653,4,260000
"Dagger +2, Vulture's Talon",33000,653,1,33000
"Dagger +3, Unseen",92000,653*,5,460000
"Short Sword +1, Harmonious",46300,657,1,46300
"Short Sword +2, Dancing",48000,657,5,240000
"Short Sword +2, Death-Dancing",64000,1000,2,128000
"Short Sword +2, Firststrike",53000,657,1,53000
"Short Sword +2, Graceful",48250,657,1,48250
"Short Sword +2, Sands",39500,800,1,39500
"Short Sword +2, Scorpion",65000,2000,3,195000
"Short Sword +2, Showman's",35000,800,1,35000
"Short Sword +2, Spell Channeling",53000,900,1,53000
"Short Sword +3, True Flame",60000,1200*,1,60000
"Sword +1, Flamebrand",42000,1200,3,126000
"Sword +1, Mariner's",77500,850,3,232500
"Sword +1, True Death",73000,1200,2,146000
"Sword +2, Bloodying",27000,660,1,27000
"Sword +2, Clarion",32500,800,1,32500
"Sword +2, Cold Iron",89000,657,3,267000
"Sword +2, Fetid Decay",65000,800*,3,195000
"Sword +2, Frostbane",49000,1000*,2,98000
"Sword +2, Maiming",65000,660,3,195000
"Sword +2, Purifier",40000,700,1,40000
"Sword +2, Resonance",44000,900*,1,44000
"Sword +2, Sarcophagal",65000,1300,3,195000
"Sword +2, Shadows",35000,660,2,70000
"Sword +2, Shifter's Sorrow",41500,660,1,41500
"Sword +2, Steadfast",27000,660,1,27000
"Sword +2, Subjugation",41750,660,1,41750
"Sword +2, Swift",72000,2000,6,432000
"Sword +2, Unbinding",54000,1200,3,162000
"Sword +2, Vitality",99000,2000,5,495000
"Sword +3",35000,650+,8,280000
"Sword +3, Lifedrinker",97000,1000,5,485000
"Two-Handed Sword +2, Firestarter",64000,750,1,64000
"Two-Handed Sword +2, Mageslayer",68500,1100,4,274000
"Two-Handed Sword +3, Cleaving",54000,665,3,162000
