Name,Base Cost,Apparent Value,Share,Weighted Share
"Spear +2, Forking Paths",26000,653,2,52000
"Sling +2, Girding",26500,652,1,26500
"Battle Axe +1, Ascension",29000,657,1,29000
"Hand Axe +1, Underbrush",29000,654,1,29000
"Lance +1, Champion's",29000,655,1,29000
"Spear +2, Vulpine",30000,700,1,30000
"Hand Axe +2, Mountaineering",34000,654,2,68000
"Spear +2, Serpent's Tongue",27000,750,2,54000
"Spear +2, Wolf-Fang",34000,653,1,34000
"Weapon +3",35000,650+,8,280000
"Crossbow +1, Second Death",36500,680,1,36500
"Mace +2, Great Crusade",37000,900,2,74000
"Composite Bow +1, Manhunter",39000,690,2,78000
"Javelin +1, Harpooning",39000,651,2,78000
"Spear +2, Nightbringer",39000,800,2,78000
"Sling +2, Strangling",40000,652,2,80000
"Lance +2, Soaring Steeds",45000,1500,1,45000
"Spear +2, Glacial",45250,653*,3,135750
"Spear +2, Submersion",47500,653,3,142500
"Warhammer +1, Runtcrusher",48000,655,2,96000
"Long Bow +2, Far Shot",53000,657,2,106000
"Short Bow +2, Marksman's",53000,850,2,106000
"Battle Axe +3, Pillager",54000,800,3,162000
"Club +1, Marshal's",55000,700,3,165000
"Great Axe +2, Giantslayer",63000,660,2,126000
"Flail +2, Wreaking",63000,655,3,189000
"Morning Star +2, Tumbling",63000,1000,3,189000
"Warhammer +2, Hemorrhage",65000,655,3,195000
"Composite Bow +2, All-Seeing",73000,690,3,219000
"Polearm +3, Impacting",73000,653,6,438000
"Morning Star +3, Troll Vitality",83000,1500,6,498000
"Net +3, Spell-Shackling",83000,3000,4,332000
"Flail +2, Fright",90000,1000,6,540000
"Gatecrasher",92000,1500,3,276000
"Hurgon's Axe",92000,1000,3,276000
"Javelin +3, Hurling",93000,651,6,558000
"Long Bow +2, Solar",70500,920,2,141000
